"ID","City","ZIP","EV.DC.Fast.Count","EV.Network","Latitude","Longitude","EV.Connector.Types","Facility.Type","CNG.Dispenser.Num","CNG.On.Site.Renewable.Source","CNG.Total.Compression.Capacity","CNG.Storage.Capacity","LNG.On.Site.Renewable.Source","E85.Other.Ethanol.Blends","EV.Pricing","EV.Pricing..French.","LPG.Nozzle.Types","Hydrogen.Pressures","Hydrogen.Standards","CNG.Fill.Type.Code","CNG.PSI","CNG.Vehicle.Class","LNG.Vehicle.Class","MaxPower","EV_Connector_Code","ChargingCost","restaurants"
39778,"Bellingham",98229,1,"",48.755607,-122.454132,"CHADEMO J1772","CAR_DEALER",NA,NA,NA,NA,NA,NA,"Free",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,1
39780,"Burien",98148,1,"",47.458466,-122.333257,"CHADEMO J1772","CAR_DEALER",NA,NA,NA,NA,NA,NA,"Free",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,11
39788,"Port Angeles",98362,1,"",48.102863,-123.342273,"CHADEMO J1772","CAR_DEALER",NA,NA,NA,NA,NA,NA,"Free",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,0
39789,"Puyallup",98371,1,"",47.207367,-122.294997,"CHADEMO J1772","CAR_DEALER",NA,NA,NA,NA,NA,NA,"Free",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,0
39791,"Renton",98058,1,"",47.448281,-122.219286,"CHADEMO J1772","CAR_DEALER",NA,NA,NA,NA,NA,NA,"Free",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,3
39796,"Spokane Valley",99212,1,"",47.657264,-117.312518,"CHADEMO J1772","CAR_DEALER",NA,NA,NA,NA,NA,NA,"Free",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,4
60412,"Bellevue",98004,1,"ChargePoint Network",47.597293,-122.188069,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"Pricing is based on length of time. $0 per hour, and $5 per additional hour",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,1
61030,"Vancouver",98662,1,"ChargePoint Network",45.648181,-122.59837,"CHADEMO","",NA,NA,NA,NA,NA,NA,"Free",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,8
63307,"Seattle",98122,1,"ChargePoint Network",47.614911,-122.3144085,"CHADEMO","",NA,NA,NA,NA,NA,NA,"Pricing is based on length of time. $1 per hour for the first 1 hour, and $5 per additional hour",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,70
63444,"East Wenatchee",98802,1,"",47.400783,-120.279071,"CHADEMO J1772","CAR_DEALER",NA,NA,NA,NA,NA,NA,"Free",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,0
65551,"Edmonds",98020,1,"ChargePoint Network",47.7781913,-122.3448327,"CHADEMO","",NA,NA,NA,NA,NA,NA,"$6 per session",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,12
65859,"Wenatchee",98801,1,"AeroVironment Network",47.42758,-120.31231,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,19
65861,"Centralia",98531,1,"AeroVironment Network",46.725274,-122.974224,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,12
65862,"Bellingham",98325,1,"AeroVironment Network",48.731457,-122.470706,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,15
65864,"Castle Rock",98611,1,"AeroVironment Network",46.276122,-122.910167,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,3
65865,"Burlington",98233,1,"AeroVironment Network",48.457448,-122.335866,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,12
65866,"Ridgefield",98642,1,"AeroVironment Network",45.817526,-122.683594,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,5
65869,"Skykomish",98288,1,"AeroVironment Network",47.711268,-121.360495,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,1
69700,"Bellevue",98005,1,"ChargePoint Network",47.6274037,-122.1578742,"J1772COMBO","",NA,NA,NA,NA,NA,NA,"Free",NA,NA,NA,NA,NA,NA,NA,NA,50,2,2,11
73412,"Tumwater",98501,1,"AeroVironment Network",46.99353,-122.908081,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,2
73413,"Leavenworth",98826,1,"AeroVironment Network",47.59501,-120.664684,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,38
73415,"Sultan",98294,1,"AeroVironment Network",47.862157,-121.816597,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"Level 2: $4 per session or $19.99 for monthly plan, DC Fast: $7.50 per session or $19.99 for monthly plan",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,2
73431,"Cle Elum",98922,1,"AeroVironment Network",47.208469,-121.019582,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,1
73433,"Snoqualmie Pass",98068,1,"AeroVironment Network",47.39194,-121.40061,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"DC Fast: $7.50 per session or $19.99 for monthly plan, Level 2: $4 per session or $19.99 for monthly plan",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,0
74196,"Everett",98204,1,"",47.9060808,-122.2365818,"CHADEMO J1772COMBO","CAR_DEALER",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,4
75094,"Everett",98204,2,"ChargePoint Network",47.902753,-122.24699,"CHADEMO","",NA,NA,NA,NA,NA,NA,"$6 per session",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,1
76253,"Kirkland",98033,1,"",47.6786184,-122.1813764,"CHADEMO J1772COMBO","CAR_DEALER",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,8
76926,"Fife",98424,1,"ChargePoint Network",47.239188,-122.374558,"J1772 J1772COMBO","",NA,NA,NA,NA,NA,NA,"Pricing is based on length of time. $0 per hour, and $2 per additional hour",NA,NA,NA,NA,NA,NA,NA,NA,50,2,2,0
78795,"Seattle",98134,2,"ChargePoint Network",47.59366,-122.32451,"J1772COMBO","",NA,NA,NA,NA,NA,NA,"Pricing is based on length of time. $2 per hour, and $10 per additional hour, minimum payment of $1",NA,NA,NA,NA,NA,NA,NA,NA,50,2,2,4
82083,"Edmonds",98026,2,"ChargePoint Network",47.778399,-122.3442599,"CHADEMO J1772COMBO","",NA,NA,NA,NA,NA,NA,"$6 per session",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,12
